Programa,Threads,Tamaño Matriz,Tiempo,Iteracion
matrizFxT,16,512,19917,3
mmPosix,16,512,28894,3
matrizFxC,16,1024,353849,3
matrizFxT,16,1024,159429,3
mmPosix,16,1024,328000,3
matrizFxC,32,64,718,3
matrizFxT,32,64,673,3
mmPosix,32,64,1046,3
matrizFxC,32,128,890,3
matrizFxT,32,128,897,3
mmPosix,32,128,1249,3
matrizFxC,32,256,2780,3
matrizFxT,32,256,2418,3
mmPosix,32,256,2834,3
matrizFxC,32,512,24014,3
matrizFxT,32,512,13772,3
mmPosix,32,512,23365,3
matrizFxC,32,1024,243703,3
matrizFxT,32,1024,105226,3
mmPosix,32,1024,236483,3
matrizFxC,1,64,555,4
matrizFxT,1,64,598,4
mmPosix,1,64,1191,4
matrizFxC,1,128,4149,4
matrizFxT,1,128,3744,4
mmPosix,1,128,5408,4
matrizFxC,1,256,32726,4
matrizFxT,1,256,32883,4
mmPosix,1,256,37901,4
matrizFxC,1,512,631117,4
matrizFxT,1,512,272362,4
mmPosix,1,512,412713,4
matrizFxC,1,1024,5278065,4
matrizFxT,1,1024,2227980,4
mmPosix,1,1024,5414606,4
matrizFxC,2,64,457,4
matrizFxT,2,64,495,4
mmPosix,2,64,1015,4
matrizFxC,2,128,2369,4
matrizFxT,2,128,2130,4
mmPosix,2,128,3319,4
matrizFxC,2,256,17063,4
matrizFxT,2,256,16998,4
mmPosix,2,256,19424,4
matrizFxC,2,512,201871,4
matrizFxT,2,512,138301,4
mmPosix,2,512,171418,4
matrizFxC,2,1024,2761254,4
matrizFxT,2,1024,1122449,4
mmPosix,2,1024,2779627,4
matrizFxC,4,64,537,4
matrizFxT,4,64,408,4
mmPosix,4,64,690,4
matrizFxC,4,128,1422,4
matrizFxT,4,128,1352,4
mmPosix,4,128,2188,4
matrizFxC,4,256,8842,4
matrizFxT,4,256,9056,4
mmPosix,4,256,10078,4
matrizFxC,4,512,97177,4
matrizFxT,4,512,70938,4
mmPosix,4,512,104207,4
matrizFxC,4,1024,1388802,4
matrizFxT,4,1024,578019,4
mmPosix,4,1024,1365677,4
matrizFxC,8,64,417,4
matrizFxT,8,64,627,4
mmPosix,8,64,1338,4
matrizFxC,8,128,931,4
matrizFxT,8,128,874,4
mmPosix,8,128,1089,4
matrizFxC,8,256,4829,4
matrizFxT,8,256,4622,4
mmPosix,8,256,5513,4
matrizFxC,8,512,51811,4
matrizFxT,8,512,37535,4
mmPosix,8,512,52051,4
matrizFxC,8,1024,700585,4
matrizFxT,8,1024,303443,4
mmPosix,8,1024,706787,4
matrizFxC,16,64,500,4
matrizFxT,16,64,534,4
mmPosix,16,64,679,4
matrizFxC,16,128,846,4
matrizFxT,16,128,634,4
mmPosix,16,128,852,4
matrizFxC,16,256,2857,4
matrizFxT,16,256,2662,4
mmPosix,16,256,3035,4
matrizFxC,16,512,27072,4
matrizFxT,16,512,19806,4
mmPosix,16,512,27849,4
matrizFxC,16,1024,354551,4
matrizFxT,16,1024,157896,4
mmPosix,16,1024,347808,4
matrizFxC,32,64,831,4
matrizFxT,32,64,644,4
mmPosix,32,64,990,4
matrizFxC,32,128,844,4
matrizFxT,32,128,892,4
mmPosix,32,128,1150,4
matrizFxC,32,256,2725,4
matrizFxT,32,256,2474,4
mmPosix,32,256,2838,4
matrizFxC,32,512,23972,4
matrizFxT,32,512,13645,4
mmPosix,32,512,23783,4
matrizFxC,32,1024,269844,4
matrizFxT,32,1024,104300,4
mmPosix,32,1024,284060,4
matrizFxC,1,64,553,5
matrizFxT,1,64,582,5
mmPosix,1,64,1050,5
matrizFxC,1,128,4117,5
matrizFxT,1,128,3795,5
mmPosix,1,128,5066,5
matrizFxC,1,256,32405,5
matrizFxT,1,256,33158,5
mmPosix,1,256,38104,5
matrizFxC,1,512,437512,5
matrizFxT,1,512,272912,5
mmPosix,1,512,425276,5
matrizFxC,1,1024,5338982,5
matrizFxT,1,1024,2222208,5
mmPosix,1,1024,4951525,5
matrizFxC,2,64,565,5
matrizFxT,2,64,466,5
mmPosix,2,64,756,5
matrizFxC,2,128,2307,5
matrizFxT,2,128,2319,5
mmPosix,2,128,3088,5
matrizFxC,2,256,16764,5
matrizFxT,2,256,17083,5
mmPosix,2,256,19783,5
matrizFxC,2,512,198559,5
matrizFxT,2,512,137724,5
mmPosix,2,512,205694,5
matrizFxC,2,1024,2740776,5
matrizFxT,2,1024,1116750,5
mmPosix,2,1024,2546520,5
matrizFxC,4,64,425,5
matrizFxT,4,64,571,5
mmPosix,4,64,754,5
matrizFxC,4,128,1272,5
matrizFxT,4,128,1381,5
mmPosix,4,128,1696,5
matrizFxC,4,256,8920,5
matrizFxT,4,256,8763,5
mmPosix,4,256,10458,5
matrizFxC,4,512,101069,5
matrizFxT,4,512,71744,5
mmPosix,4,512,101928,5
matrizFxC,4,1024,1380404,5
matrizFxT,4,1024,574624,5
mmPosix,4,1024,1387854,5
matrizFxC,8,64,486,5
matrizFxT,8,64,499,5
mmPosix,8,64,806,5
matrizFxC,8,128,1095,5
matrizFxT,8,128,844,5
mmPosix,8,128,1240,5
matrizFxC,8,256,4828,5
matrizFxT,8,256,4937,5
mmPosix,8,256,6315,5
matrizFxC,8,512,50947,5
matrizFxT,8,512,37335,5
mmPosix,8,512,58041,5
matrizFxC,8,1024,702047,5
matrizFxT,8,1024,303077,5
mmPosix,8,1024,705045,5
matrizFxC,16,64,450,5
matrizFxT,16,64,349,5
mmPosix,16,64,895,5
matrizFxC,16,128,726,5
matrizFxT,16,128,671,5
mmPosix,16,128,824,5
matrizFxC,16,256,2780,5
matrizFxT,16,256,2718,5
mmPosix,16,256,3226,5
matrizFxC,16,512,26778,5
matrizFxT,16,512,19438,5
mmPosix,16,512,27685,5
matrizFxC,16,1024,354058,5
matrizFxT,16,1024,169067,5
mmPosix,16,1024,351736,5
matrizFxC,32,64,674,5
matrizFxT,32,64,667,5
mmPosix,32,64,1031,5
matrizFxC,32,128,872,5
matrizFxT,32,128,869,5
mmPosix,32,128,1192,5
matrizFxC,32,256,2707,5
matrizFxT,32,256,2307,5
mmPosix,32,256,2768,5
